proto,port
tcp,1
tcp,3
tcp,4
tcp,6
tcp,7
tcp,9
tcp,13
tcp,17
tcp,19
tcp,20
tcp,21
tcp,22
tcp,23
tcp,24
tcp,25
tcp,26
tcp,30
tcp,32
tcp,33
tcp,37
tcp,42
tcp,43
tcp,49
tcp,53
tcp,70
tcp,79
tcp,80
tcp,81
tcp,82
tcp,83
tcp,84
tcp,85
tcp,88
tcp,89
tcp,90
tcp,99
tcp,100
tcp,106
tcp,109
tcp,110
tcp,111
tcp,113
tcp,119
tcp,125
tcp,135
tcp,139
tcp,143
tcp,144
tcp,146
tcp,161
tcp,163
tcp,179
tcp,199
tcp,211
tcp,212
tcp,222
tcp,254
tcp,255
tcp,256
tcp,259
tcp,264
tcp,280
tcp,301
tcp,306
tcp,311
tcp,340
tcp,366
tcp,389
tcp,406
tcp,407
tcp,416
tcp,417
tcp,425
tcp,427
tcp,443
tcp,444
tcp,445
tcp,458
tcp,464
tcp,465
tcp,481
tcp,497
tcp,500
tcp,512
tcp,513
tcp,514
tcp,515
tcp,524
tcp,541
tcp,543
tcp,544
tcp,545
tcp,548
tcp,554
tcp,555
tcp,563
tcp,587
tcp,593
tcp,616
tcp,617
tcp,625
tcp,631
tcp,636
tcp,646
tcp,648
tcp,666
tcp,667
tcp,668
tcp,683
tcp,687
tcp,691
tcp,700
tcp,705
tcp,711
tcp,714
tcp,720
tcp,722
tcp,726
tcp,749
tcp,765
tcp,777
tcp,783
tcp,787
tcp,800
tcp,801
tcp,808
tcp,843
tcp,873
tcp,880
tcp,888
tcp,898
tcp,900
tcp,901
tcp,902
tcp,903
tcp,911
tcp,912
tcp,981
tcp,987
tcp,990
tcp,992
tcp,993
tcp,995
tcp,999
tcp,1000
tcp,1001
tcp,1002
tcp,1007
tcp,1009
tcp,1010
tcp,1011
tcp,1021
tcp,1022
tcp,1023
tcp,1024
tcp,1025
tcp,1026
tcp,1027
tcp,1028
tcp,1029
tcp,1030
tcp,1031
tcp,1032
tcp,1033
tcp,1034
tcp,1035
tcp,1036
tcp,1037
tcp,1038
tcp,1039
tcp,1040
tcp,1041
tcp,1042
tcp,1043
tcp,1044
tcp,1045
tcp,1046
tcp,1047
tcp,1048
tcp,1049
tcp,1050
tcp,1051
tcp,1052
tcp,1053
tcp,1054
tcp,1055
tcp,1056
tcp,1057
tcp,1058
tcp,1059
tcp,1060
tcp,1061
tcp,1062
tcp,1063
tcp,1064
tcp,1065
tcp,1066
tcp,1067
tcp,1068
tcp,1069
tcp,1070
tcp,1071
tcp,1072
tcp,1073
tcp,1074
tcp,1075
tcp,1076
tcp,1077
tcp,1078
tcp,1079
tcp,1080
tcp,1081
tcp,1082
tcp,1083
tcp,1084
tcp,1085
tcp,1086
tcp,1087
tcp,1088
tcp,1089
tcp,1090
tcp,1091
tcp,1092
tcp,1093
tcp,1094
tcp,1095
tcp,1096
tcp,1097
tcp,1098
tcp,1099
tcp,1100
tcp,1102
tcp,1104
tcp,1105
tcp,1106
tcp,1107
tcp,1108
tcp,1110
tcp,1111
tcp,1112
tcp,1113
tcp,1114
tcp,1117
tcp,1119
tcp,1121
tcp,1122
tcp,1123
tcp,1124
tcp,1126
tcp,1130
tcp,1131
tcp,1132
tcp,1137
tcp,1138
tcp,1141
tcp,1145
tcp,1147
tcp,1148
tcp,1149
tcp,1151
tcp,1152
tcp,1154
tcp,1163
tcp,1164
tcp,1165
tcp,1166
tcp,1169
tcp,1174
tcp,1175
tcp,1183
tcp,1185
tcp,1186
tcp,1187
tcp,1192
tcp,1198
tcp,1199
tcp,1201
tcp,1213
tcp,1216
tcp,1217
tcp,1218
tcp,1233
tcp,1234
tcp,1236
tcp,1244
tcp,1247
tcp,1248
tcp,1259
tcp,1271
tcp,1272
tcp,1277
tcp,1287
tcp,1296
tcp,1300
tcp,1301
tcp,1309
tcp,1310
tcp,1311
tcp,1322
tcp,1328
tcp,1334
tcp,1352
tcp,1417
tcp,1433
tcp,1434
tcp,1443
tcp,1455
tcp,1461
tcp,1494
tcp,1500
tcp,1501
tcp,1503
tcp,1521
tcp,1524
tcp,1533
tcp,1556
tcp,1580
tcp,1583
tcp,1594
tcp,1600
tcp,1641
tcp,1658
tcp,1666
tcp,1687
tcp,1688
tcp,1700
tcp,1717
tcp,1718
tcp,1719
tcp,1720
tcp,1721
tcp,1723
tcp,1755
tcp,1761
tcp,1782
tcp,1783
tcp,1801
tcp,1805
tcp,1812
tcp,1839
tcp,1840
tcp,1862
tcp,1863
tcp,1864
tcp,1875
tcp,1900
tcp,1914
tcp,1935
tcp,1947
tcp,1971
tcp,1972
tcp,1974
tcp,1984
tcp,1998
tcp,1999
tcp,2000
tcp,2001
tcp,2002
tcp,2003
tcp,2004
tcp,2005
tcp,2006
tcp,2007
tcp,2008
tcp,2009
tcp,2010
tcp,2013
tcp,2020
tcp,2021
tcp,2022
tcp,2030
tcp,2033
tcp,2034
tcp,2035
tcp,2038
tcp,2040
tcp,2041
tcp,2042
tcp,2043
